Periodo,Produccion,Stock_Final,Demanda,Stock_Seguridad
Periodo 1,9933.3,490293862.016,0.0,0.0
Periodo 2,9784.427899999999,2007963632.0655534,10167408954.160046,2372005765.233946
Periodo 3,9308.512099999998,2007963632.0655534,10167408954.160046,2372005765.233946
Periodo 4,9270.862500000001,2007963632.0655534,10167408954.160046,2372005765.233946
Periodo 5,9230.4642,2007963632.0655534,10167408954.160046,2372005765.233946
Periodo 6,10198.8038,2007963632.0655534,10167408954.160046,2372005765.233946
Periodo 7,10898.2533,2007963632.0655534,10167408954.160046,2372005765.233946
Periodo 8,10940.7602,2007963632.0655534,10167408954.160046,2372005765.233946
Periodo 9,10935.617699999999,2007963632.0655534,10167408954.160046,2372005765.233946
Periodo 10,10109.4885,2007963632.0655534,10167408954.160046,2372005765.233946
Periodo 11,9524.0665,2007963632.0655534,10167408954.160046,2372005765.233946
Periodo 12,9749.4454,2007963632.0655534,10167408954.160046,2372005765.233946
Periodo 13,12176.9976,2007963632.0655534,10167408954.160046,2372005765.233946
Periodo 14,9793.0,2007963632.0655534,10167408954.160046,2372005765.233946
Periodo 15,10517.4,-11675495833.284376,13683459465.34993,-3982433528.5292597
Periodo 16,11239.640000000001,-11675495833.284376,13683459465.34993,-3982433528.5292597
Periodo 17,11510.76,-11675495833.284376,13683459465.34993,-3982433528.5292597
Periodo 18,11463.018,-11675495833.284376,13683459465.34993,-3982433528.5292597
Periodo 19,10941.3226,-11675495833.284376,13683459465.34993,-3982433528.5292597
Periodo 20,11333.2555,-11675495833.284376,13683459465.34993,-3982433528.5292597
Periodo 21,11509.69,-11675495833.284376,13683459465.34993,-3982433528.5292597
Periodo 22,11506.94,-11675495833.284376,13683459465.34993,-3982433528.5292597
Periodo 23,11509.970000000001,-11675495833.284376,13683459465.34993,-3982433528.5292597
Periodo 24,11510.369999999999,-11675495833.284376,13683459465.34993,-3982433528.5292597
Periodo 25,11510.7,-11675495833.284376,13683459465.34993,-3982433528.5292597
Periodo 26,11511.170000000002,-11675495833.284376,13683459465.34993,-3982433528.5292597
Periodo 27,11513.85,-11675495833.284376,13683459465.34993,-3982433528.5292597
Periodo 28,11513.85,-23750514635.48011,12075018802.195736,-10033222577.031288
Periodo 29,11513.85,-23750514635.48011,12075018802.195736,-10033222577.031288
Periodo 30,11513.849999999999,-23750514635.48011,12075018802.195736,-10033222577.031288
Periodo 31,11513.45,-23750514635.48011,12075018802.195736,-10033222577.031288
Periodo 32,11513.85,-23750514635.48011,12075018802.195736,-10033222577.031288
Periodo 33,11513.85,-23750514635.48011,12075018802.195736,-10033222577.031288
Periodo 34,11512.05,-23750514635.48011,12075018802.195736,-10033222577.031288
Periodo 35,11513.45,-23750514635.48011,12075018802.195736,-10033222577.031288
Periodo 36,11513.85,-23750514635.48011,12075018802.195736,-10033222577.031288
Periodo 37,11513.844008732854,-23750514635.48011,12075018802.195736,-10033222577.031288
Periodo 38,11513.85,-23750514635.48011,12075018802.195736,-10033222577.031288
Periodo 39,11513.85,-23750514635.48011,12075018802.195736,-10033222577.031288
Periodo 40,11332.75,-23750514635.48011,12075018802.195736,-10033222577.031288
Periodo 41,11332.740024941482,-34691152126.02169,10940637490.54158,-16294675797.726078
Periodo 42,11332.733152202693,-34691152126.02169,10940637490.54158,-16294675797.726078
Periodo 43,11332.715746405509,-34691152126.02169,10940637490.54158,-16294675797.726078
Periodo 44,11332.58596567497,-34691152126.02169,10940637490.54158,-16294675797.726078
Periodo 45,11332.624552097617,-34691152126.02169,10940637490.54158,-16294675797.726078
Periodo 46,11332.75,-34691152126.02169,10940637490.54158,-16294675797.726078
Periodo 47,11332.75,-34691152126.02169,10940637490.54158,-16294675797.726078
Periodo 48,11332.75,-34691152126.02169,10940637490.54158,-16294675797.726078
Periodo 49,11332.75,-34691152126.02169,10940637490.54158,-16294675797.726078
Periodo 50,11332.676413179182,-34691152126.02169,10940637490.54158,-16294675797.726078
Periodo 51,11332.719144651288,-34691152126.02169,10940637490.54158,-16294675797.726078
Periodo 52,11332.654183719731,-34691152126.02169,10940637490.54158,-16294675797.726078
Periodo 53,11328.25,-34691152126.02169,10940637490.54158,-16294675797.726078
Periodo 54,11328.183020140881,-59434495410.70776,24743343284.686073,-31305436384.195385
Periodo 55,11328.23926481904,-59434495410.70776,24743343284.686073,-31305436384.195385
Periodo 56,11328.25,-59434495410.70776,24743343284.686073,-31305436384.195385
Periodo 57,11328.242598695897,-59434495410.70776,24743343284.686073,-31305436384.195385
Periodo 58,11147.15,-59434495410.70776,24743343284.686073,-31305436384.195385
Periodo 59,11147.15,-59434495410.70776,24743343284.686073,-31305436384.195385
Periodo 60,11147.15,-59434495410.70776,24743343284.686073,-31305436384.195385
Periodo 61,11020.131166873141,-59434495410.70776,24743343284.686073,-31305436384.195385
Periodo 62,10522.355,-59434495410.70776,24743343284.686073,-31305436384.195385
Periodo 63,10427.2775,-59434495410.70776,24743343284.686073,-31305436384.195385
Periodo 64,9843.23,-59434495410.70776,24743343284.686073,-31305436384.195385
Periodo 65,9385.91758579559,-59434495410.70776,24743343284.686073,-31305436384.195385
Periodo 66,8887.88905679823,-59434495410.70776,24743343284.686073,-31305436384.195385
Periodo 67,8394.361813486443,-70099046639.10204,10664551228.394268,-37568011109.29475
Periodo 68,7928.0975,-70099046639.10204,10664551228.394268,-37568011109.29475
Periodo 69,7884.6335,-70099046639.10204,10664551228.394268,-37568011109.29475
Periodo 70,7812.1935,-70099046639.10204,10664551228.394268,-37568011109.29475
Periodo 71,7316.88303597989,-70099046639.10204,10664551228.394268,-37568011109.29475
Periodo 72,7253.47603919149,-70099046639.10204,10664551228.394268,-37568011109.29475
Periodo 73,7253.5,-70099046639.10204,10664551228.394268,-37568011109.29475
Periodo 74,7253.491062641362,-70099046639.10204,10664551228.394268,-37568011109.29475
Periodo 75,7253.481619449275,-70099046639.10204,10664551228.394268,-37568011109.29475
Periodo 76,7253.444421966606,-70099046639.10204,10664551228.394268,-37568011109.29475
Periodo 77,7253.397995621099,-70099046639.10204,10664551228.394268,-37568011109.29475
Periodo 78,7253.495858269007,-70099046639.10204,10664551228.394268,-37568011109.29475
Periodo 79,7253.5,-70099046639.10204,10664551228.394268,-37568011109.29475
Periodo 80,6619.2993515925355,-77641389095.27713,7542342456.175109,-42693130242.56596
Periodo 81,6619.286071462797,-77641389095.27713,7542342456.175109,-42693130242.56596
Periodo 82,6619.370000000001,-77641389095.27713,7542342456.175109,-42693130242.56596
Periodo 83,6619.364504337661,-77641389095.27713,7542342456.175109,-42693130242.56596
Periodo 84,6619.370000000001,-77641389095.27713,7542342456.175109,-42693130242.56596
Periodo 85,6619.370000000001,-77641389095.27713,7542342456.175109,-42693130242.56596
Periodo 86,6619.277743597635,-77641389095.27713,7542342456.175109,-42693130242.56596
Periodo 87,6619.370000000001,-77641389095.27713,7542342456.175109,-42693130242.56596
Periodo 88,6619.370000000001,-77641389095.27713,7542342456.175109,-42693130242.56596
Periodo 89,6619.363198933161,-77641389095.27713,7542342456.175109,-42693130242.56596
Periodo 90,6619.3156082502865,-77641389095.27713,7542342456.175109,-42693130242.56596
Periodo 91,6619.368351652418,-77641389095.27713,7542342456.175109,-42693130242.56596
Periodo 92,6619.322251710382,-77641389095.27713,7542342456.175109,-42693130242.56596
Periodo 93,6619.370000000001,-83249046969.4322,5607657874.155071,-45507888449.96502
Periodo 94,6619.370000000001,-83249046969.4322,5607657874.155071,-45507888449.96502
Periodo 95,6619.370000000001,-83249046969.4322,5607657874.155071,-45507888449.96502
Periodo 96,6619.370000000001,-83249046969.4322,5607657874.155071,-45507888449.96502
Periodo 97,6619.287244024221,-83249046969.4322,5607657874.155071,-45507888449.96502
Periodo 98,6619.370000000001,-83249046969.4322,5607657874.155071,-45507888449.96502
Periodo 99,6619.370000000001,-83249046969.4322,5607657874.155071,-45507888449.96502
Periodo 100,6619.370000000001,-83249046969.4322,5607657874.155071,-45507888449.96502
Periodo 101,6619.370000000001,-83249046969.4322,5607657874.155071,-45507888449.96502
Periodo 102,6619.370000000001,-83249046969.4322,5607657874.155071,-45507888449.96502
Periodo 103,6619.370000000001,-83249046969.4322,5607657874.155071,-45507888449.96502
Periodo 104,6619.368962225226,-83249046969.4322,5607657874.155071,-45507888449.96502
Periodo 105,6619.273729006166,-83249046969.4322,5607657874.155071,-45507888449.96502
Periodo 106,6619.370000000001,-88020517417.23509,4771470447.80288,-47658828641.46705
Periodo 107,6619.370000000001,-88020517417.23509,4771470447.80288,-47658828641.46705
Periodo 108,6619.370000000001,-88020517417.23509,4771470447.80288,-47658828641.46705
Periodo 109,6618.787712633788,-88020517417.23509,4771470447.80288,-47658828641.46705
Periodo 110,6619.36508310466,-88020517417.23509,4771470447.80288,-47658828641.46705
Periodo 111,6619.37,-88020517417.23509,4771470447.80288,-47658828641.46705
Periodo 112,6619.344066476871,-88020517417.23509,4771470447.80288,-47658828641.46705
Periodo 113,6619.370000000001,-88020517417.23509,4771470447.80288,-47658828641.46705
Periodo 114,6619.370000000001,-88020517417.23509,4771470447.80288,-47658828641.46705
Periodo 115,6619.367023623981,-88020517417.23509,4771470447.80288,-47658828641.46705
Periodo 116,6619.370000000001,-88020517417.23509,4771470447.80288,-47658828641.46705
Periodo 117,6619.343466037576,-88020517417.23509,4771470447.80288,-47658828641.46705
Periodo 118,6619.318775439435,-88020517417.23509,4771470447.80288,-47658828641.46705
Periodo 119,6619.337601585004,-98939397621.19229,10918880203.957201,-52622251748.0866
Periodo 120,6619.370000000001,-98939397621.19229,10918880203.957201,-52622251748.0866
Periodo 121,6619.370000000001,-98939397621.19229,10918880203.957201,-52622251748.0866
Periodo 122,6619.359798100056,-98939397621.19229,10918880203.957201,-52622251748.0866
Periodo 123,6619.370000000001,-98939397621.19229,10918880203.957201,-52622251748.0866
Periodo 124,6619.370000000001,-98939397621.19229,10918880203.957201,-52622251748.0866
Periodo 125,6619.370000000001,-98939397621.19229,10918880203.957201,-52622251748.0866
Periodo 126,6619.370000000001,-98939397621.19229,10918880203.957201,-52622251748.0866
Periodo 127,6619.370000000001,-98939397621.19229,10918880203.957201,-52622251748.0866
Periodo 128,6619.370000000001,-98939397621.19229,10918880203.957201,-52622251748.0866
Periodo 129,6619.370000000001,-98939397621.19229,10918880203.957201,-52622251748.0866
Periodo 130,6619.306145686637,-98939397621.19229,10918880203.957201,-52622251748.0866
Periodo 131,6619.370000000001,-98939397621.19229,10918880203.957201,-52622251748.0866
Periodo 132,6619.370000000001,-103600733582.43661,4661335961.244337,-54227690029.23501
Periodo 133,6619.370000000001,-103600733582.43661,4661335961.244337,-54227690029.23501
Periodo 134,6619.370000000001,-103600733582.43661,4661335961.244337,-54227690029.23501
Periodo 135,6619.370000000001,-103600733582.43661,4661335961.244337,-54227690029.23501
Periodo 136,6619.364542471335,-103600733582.43661,4661335961.244337,-54227690029.23501
Periodo 137,6619.370000000001,-103600733582.43661,4661335961.244337,-54227690029.23501
Periodo 138,6619.370000000001,-103600733582.43661,4661335961.244337,-54227690029.23501
Periodo 139,6619.370000000001,-103600733582.43661,4661335961.244337,-54227690029.23501
Periodo 140,6619.370000000001,-103600733582.43661,4661335961.244337,-54227690029.23501
Periodo 141,6619.370000000001,-103600733582.43661,4661335961.244337,-54227690029.23501
Periodo 142,6619.370000000001,-103600733582.43661,4661335961.244337,-54227690029.23501
Periodo 143,6619.370000000001,-103600733582.43661,4661335961.244337,-54227690029.23501
Periodo 144,6619.370000000001,-103600733582.43661,4661335961.244337,-54227690029.23501
Periodo 145,6619.370000000001,-107446499326.15848,3845765743.7218556,-55712200117.35475
Periodo 146,6619.370000000001,-107446499326.15848,3845765743.7218556,-55712200117.35475
Periodo 147,6619.370000000001,-107446499326.15848,3845765743.7218556,-55712200117.35475
Periodo 148,6619.370000000001,-107446499326.15848,3845765743.7218556,-55712200117.35475
Periodo 149,6619.370000000001,-107446499326.15848,3845765743.7218556,-55712200117.35475
Periodo 150,6619.370000000001,-107446499326.15848,3845765743.7218556,-55712200117.35475
Periodo 151,6619.370000000001,-107446499326.15848,3845765743.7218556,-55712200117.35475
Periodo 152,6619.370000000001,-107446499326.15848,3845765743.7218556,-55712200117.35475
Periodo 153,6619.338698849444,-107446499326.15848,3845765743.7218556,-55712200117.35475
Periodo 154,6619.370000000001,-107446499326.15848,3845765743.7218556,-55712200117.35475
Periodo 155,6619.370000000001,-107446499326.15848,3845765743.7218556,-55712200117.35475
Periodo 156,6619.370000000001,-107446499326.15848,3845765743.7218556,-55712200117.35475
Periodo 157,6619.370000000001,-107446499326.15848,3845765743.7218556,-55712200117.35475
Periodo 158,6619.370000000001,-111100425520.30463,3653926194.1461368,-57239401958.02686
Periodo 159,6619.370000000001,-111100425520.30463,3653926194.1461368,-57239401958.02686
Periodo 160,6619.370000000001,-111100425520.30463,3653926194.1461368,-57239401958.02686
Periodo 161,6619.370000000001,-111100425520.30463,3653926194.1461368,-57239401958.02686
Periodo 162,6619.3405319370795,-111100425520.30463,3653926194.1461368,-57239401958.02686
Periodo 163,6619.340530715348,-111100425520.30463,3653926194.1461368,-57239401958.02686
Periodo 164,6619.311149701445,-111100425520.30463,3653926194.1461368,-57239401958.02686
Periodo 165,6619.370000000001,-111100425520.30463,3653926194.1461368,-57239401958.02686
Periodo 166,6619.340535889283,-111100425520.30463,3653926194.1461368,-57239401958.02686
Periodo 167,6619.340258451017,-111100425520.30463,3653926194.1461368,-57239401958.02686
Periodo 168,6619.370000000001,-111100425520.30463,3653926194.1461368,-57239401958.02686
Periodo 169,6619.370000000001,-111100425520.30463,3653926194.1461368,-57239401958.02686
Periodo 170,6619.370000000001,-111100425520.30463,3653926194.1461368,-57239401958.02686
Periodo 171,6619.370000000001,-114275924231.78336,3175498711.478739,-58373223979.38841
Periodo 172,6619.259325195496,-114275924231.78336,3175498711.478739,-58373223979.38841
Periodo 173,6619.370000000001,-114275924231.78336,3175498711.478739,-58373223979.38841
Periodo 174,6619.370000000001,-114275924231.78336,3175498711.478739,-58373223979.38841
Periodo 175,6619.370000000001,-114275924231.78336,3175498711.478739,-58373223979.38841
Periodo 176,6619.369223352563,-114275924231.78336,3175498711.478739,-58373223979.38841
Periodo 177,6619.258780728182,-114275924231.78336,3175498711.478739,-58373223979.38841
Periodo 178,6528.780000000001,-114275924231.78336,3175498711.478739,-58373223979.38841
Periodo 179,6438.1900000000005,-114275924231.78336,3175498711.478739,-58373223979.38841
Periodo 180,6347.6,-114275924231.78336,3175498711.478739,-58373223979.38841
Periodo 181,6257.01,-114275924231.78336,3175498711.478739,-58373223979.38841
Periodo 182,6166.42,-114275924231.78336,3175498711.478739,-58373223979.38841
Periodo 183,6075.83,-114275924231.78336,3175498711.478739,-58373223979.38841
Periodo 184,9793.0,-118664737266.46727,4388813034.683912,-59854911009.17476
